Data,Ora Ingresso Mattina,Ora Uscita Mattina,Ore Lavorate Mattina,Ora Ingresso Pomeriggio,Ora Uscita Pomeriggio,Ore Lavorate Pomeriggio,Ore Lavorate Giornata
01-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
03-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
04-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
05-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
06-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
07-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
08-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
09-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
10-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
11-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
12-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
13-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
14-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
17-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
18-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
19-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
20-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
21-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
24-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
25-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
26-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
27-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
28-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30-09-24,07:55,12:02,04:07,13:55,18:02,04:07,08:14
Giornate lavorate:,Ore lavorate:
21,172:54
