Data,Ora Ingresso Mattina,Ora Uscita Mattina,Ore Lavorate Mattina,Ora Ingresso Pomeriggio,Ora Uscita Pomeriggio,Ore Lavorate Pomeriggio,Ore Lavorate Giornata
01-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02-09-24,07:58,12:12,04:14,13:59,18:13,04:14,08:28
03-09-24,07:59,12:11,04:12,13:58,18:12,04:14,08:26
04-09-24,07:57,12:10,04:13,14:00,18:14,04:14,08:27
05-09-24,07:58,12:13,04:15,13:59,18:11,04:12,08:27
06-09-24,07:59,12:12,04:13,13:58,18:13,04:15,08:28
07-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
08-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
09-09-24,07:58,12:11,04:13,13:59,18:12,04:13,08:26
10-09-24,07:57,12:10,04:13,14:00,18:14,04:14,08:27
11-09-24,07:59,12:12,04:13,13:58,18:11,04:13,08:26
12-09-24,07:58,12:13,04:15,13:59,18:13,04:14,08:29
13-09-24,07:57,12:11,04:14,14:00,18:12,04:12,08:26
14-09-24,07:58,12:13,04:15,N/A,N/A,N/A,04:15
15-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16-09-24,07:59,12:12,04:13,13:58,18:11,04:13,08:26
17-09-24,07:58,12:11,04:13,13:59,18:13,04:14,08:27
18-09-24,07:57,12:10,04:13,14:00,18:12,04:12,08:25
19-09-24,07:58,12:12,04:14,13:59,18:14,04:15,08:29
20-09-24,07:59,12:13,04:14,13:58,18:11,04:13,08:27
21-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23-09-24,07:58,12:11,04:13,13:59,18:13,04:14,08:27
24-09-24,07:57,12:10,04:13,14:00,18:12,04:12,08:25
25-09-24,07:59,12:12,04:13,13:58,18:11,04:13,08:26
26-09-24,07:58,12:13,04:15,13:59,18:14,04:15,08:30
27-09-24,07:57,12:11,04:14,14:00,18:13,04:13,08:27
28-09-24,07:58,12:12,04:14,N/A,N/A,N/A,04:14
29-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30-09-24,07:59,12:13,04:14,13:58,18:12,04:14,08:28
Giornate lavorate:,Ore lavorate:
22,182:16
