Data,Ora Ingresso Mattina,Ora Uscita Mattina,Ore Lavorate Mattina,Ora Ingresso Pomeriggio,Ora Uscita Pomeriggio,Ore Lavorate Pomeriggio,Ore Lavorate Giornata
01-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
02-09-24,08:02,12:10,04:08,13:28,17:30,04:02,08:10
03-09-24,07:59,12:10,04:11,13:31,18:00,04:29,08:40
04-09-24,08:03,12:10,04:07,13:29,17:30,04:01,08:08
05-09-24,07:58,12:10,04:12,13:32,18:00,04:28,08:40
06-09-24,08:01,12:10,04:09,13:30,17:30,04:00,08:09
07-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
08-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
09-09-24,08:00,12:10,04:10,13:29,18:00,04:31,08:41
10-09-24,07:57,12:10,04:13,13:31,17:30,03:59,08:12
11-09-24,08:04,12:10,04:06,13:28,18:00,04:32,08:38
12-09-24,07:59,12:10,04:11,13:30,17:30,04:00,08:11
13-09-24,08:02,12:10,04:08,13:32,18:00,04:28,08:36
14-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16-09-24,08:01,12:10,04:09,13:29,17:30,04:01,08:10
17-09-24,07:58,12:10,04:12,13:31,18:00,04:29,08:41
18-09-24,08:03,12:10,04:07,13:28,17:30,04:02,08:09
19-09-24,08:00,12:10,04:10,13:30,18:00,04:30,08:40
20-09-24,07:59,12:10,04:11,13:32,17:30,03:58,08:09
21-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23-09-24,08:02,12:10,04:08,13:29,18:00,04:31,08:39
24-09-24,07:57,12:10,04:13,13:31,17:30,03:59,08:12
25-09-24,08:04,12:10,04:06,13:28,18:00,04:32,08:38
26-09-24,08:01,12:10,04:09,13:30,17:30,04:00,08:09
27-09-24,07:59,12:10,04:11,13:32,18:00,04:28,08:39
28-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29-09-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30-09-24,08:00,12:10,04:10,13:29,17:30,04:01,08:11
Giornate lavorate:,Ore lavorate:
21,176:02
